"","Date","mean","sum_com"
"119","2021-05-21",0.80897674059762,39
"120","2021-05-22",-0.371527777777778,12
"121","2021-05-23",0.921428571428571,9
"122","2021-05-24",0.216666666666667,6
"123","2021-05-25",-0.0130628315649867,58
"124","2021-05-26",0.254330755569347,173
"125","2021-05-27",-0.029258795822561,169
"126","2021-05-28",0.0043291046156158,116
"127","2021-05-29",-0.0288966831497319,164
"128","2021-05-30",0.345235391079509,125
"129","2021-05-31",-0.0355172413793104,29
"130","2021-06-01",0.302525662990003,57
"131","2021-06-02",0.142272365426971,190
"132","2021-06-03",0.306594924359938,335
"133","2021-06-04",0.265703367840273,273
"134","2021-06-05",0.535363765812927,297
"135","2021-06-06",0.196093079086734,197
"136","2021-06-07",0.0958294032271797,237
"137","2021-06-08",0.352759180409943,407
"138","2021-06-09",0.211580131388545,251
"139","2021-06-10",0.113332035497259,158
"140","2021-06-11",0.282996234705011,188
"141","2021-06-12",0.0917903446712311,171
"142","2021-06-13",-0.000584045584045597,60
"143","2021-06-14",-0.00714285714285713,14
"144","2021-06-15",0.278869047619048,64
"145","2021-06-16",0.396323529411765,34
"146","2021-06-17",0,4
"147","2021-06-18",0.358333333333333,36
"148","2021-06-19",0.436805555555556,24
"149","2021-06-20",0.504061115355233,105
"150","2021-06-21",0.442627990163201,142
"151","2021-06-22",0.190938387635756,117
"152","2021-06-23",0.177174803887133,73
"153","2021-06-24",0.115113627825214,138
"154","2021-06-25",0.472808911473216,194
"155","2021-06-26",0.258691077441077,33
"156","2021-06-27",0.354916351010101,80
"157","2021-06-28",0.113844839077527,79
"158","2021-06-29",-0.155569316436252,93
"159","2021-06-30",0.459143518518518,84
"160","2021-07-01",0.218799407114625,69
"161","2021-07-02",-0.953832070707071,44
"162","2021-07-03",-1.50376984126984,18
"163","2021-07-04",-0.0410835651119669,82
"164","2021-07-05",0.0817528735632184,29
"165","2021-07-06",-0.0824688282662421,87
"166","2021-07-07",-0.127371870109546,71
"167","2021-07-08",0.26482905982906,78
"168","2021-07-09",-0.0787540174471992,66
"169","2021-07-10",0.545368072787428,31
"170","2021-07-11",0.186291666666667,20
"171","2021-07-12",0.422671568627451,34
"172","2021-07-13",-0.145,10
"173","2021-07-14",0.0182589830804117,42
"174","2021-07-15",0.302240605334836,195
"175","2021-07-16",-0.218960242343863,58
"176","2021-07-17",0.559579772079772,33
"177","2021-07-18",-0.0333418588789683,32
"178","2021-07-19",0.501466750841751,66
"179","2021-07-20",0.361489535330261,31
"180","2021-07-21",0.134395833333333,80
"181","2021-07-22",0.0717954545454545,44
"182","2021-07-23",-1.77777777777778,5
"183","2021-07-24",-0.392488888888889,25
"184","2021-07-25",0.547727272727273,17
"185","2021-07-26",0.301008597883598,56
"186","2021-07-27",0.0611316872427983,27
"187","2021-07-28",0.066991341991342,83
"188","2021-07-29",0.313991319444444,80
"189","2021-07-30",0.0433282130056324,31
"190","2021-07-31",0.365703054806828,53
"191","2021-08-01",2.12833333333333,18
"192","2021-08-02",-0.040625,16
"193","2021-08-03",0.0181711964337072,61
"194","2021-08-04",-0.288425925925926,87
"195","2021-08-05",0.0843560827108621,84
"196","2021-08-06",0.147916666666667,20
"197","2021-08-07",0.186453714414241,38
"198","2021-08-08",0.032642089093702,31
"199","2021-08-09",0.0963991769547326,81
"200","2021-08-10",0.138573573573574,74
"201","2021-08-11",0.122777777777778,42
"202","2021-08-12",-0.522039295392954,82
"203","2021-08-13",0.451529535864979,79
"204","2021-08-14",-0.329638118929164,67
"205","2021-08-15",0.205128205128205,26
"206","2021-08-16",0.466098484848485,44
"207","2021-08-17",0.365789473684211,19
"208","2021-08-18",-0.0511368160566879,78
"209","2021-08-19",0.135517316017316,100
"210","2021-08-20",-0.0179114684860299,90
"211","2021-08-21",0.291666666666667,16
"212","2021-08-22",0.641666666666667,26
"213","2021-08-23",0.732958994708995,50
"214","2021-08-24",0.335594071223701,135
"215","2021-08-25",0.149133629902861,169
"216","2021-08-26",0.540760869565217,23
"217","2021-08-27",0.275925925925926,81
"218","2021-08-28",-0.0652481556002683,71
"219","2021-08-29",-0.5,6
"220","2021-08-30",0.784213947990544,47
"221","2021-08-31",0.237349559531378,110
"222","2021-09-01",0.701833333333333,25
"223","2021-09-02",-0.151283744131455,71
"224","2021-09-03",0.050831475287997,69
"225","2021-09-04",-0.0184280303030303,55
"226","2021-09-05",0.41,25
"227","2021-09-06",0.340451388888889,32
"228","2021-09-07",0.214606366316565,67
"229","2021-09-08",0.234301346801347,66
"230","2021-09-09",0.414918347338936,85
"231","2021-09-10",0.60263373059867,82
"232","2021-09-11",0.527777777777778,49
"233","2021-09-12",-0.219920865633075,43
"234","2021-09-13",-0.0129439128123339,95
"235","2021-09-14",0.736796536796537,58
"236","2021-09-15",0.759648647920707,112
"237","2021-09-16",0.660278633795583,59
"238","2021-09-17",0.146699740298531,124
"239","2021-09-18",0.849756944444444,66
"240","2021-09-19",0.716666666666667,5
"241","2021-09-20",0.269450318588974,119
"242","2021-09-21",0.167333333333333,25
"243","2021-09-22",-0.172118702553485,23
"244","2021-09-23",-0.41820652173913,23
"245","2021-09-24",-0.35,10
"246","2021-09-25",0.0444444444444444,9
"247","2021-09-26",0.344871794871795,13
"248","2021-09-27",0.339046822742475,23
"249","2021-09-28",0.668524087519623,64
"250","2021-09-29",0.388888888888889,9
"251","2021-09-30",-0.0189703371745625,71
"252","2021-10-01",0.590090497737557,34
"253","2021-10-02",-0.192045454545455,11
"254","2021-10-04",0.397916666666667,6
"255","2021-10-05",0.38695652173913,23
"256","2021-10-06",0.39047619047619,28
"257","2021-10-07",0.398333333333333,40
"258","2021-10-08",0.848296373663102,80
"259","2021-10-09",0.0387500000000001,32
"260","2021-10-10",-0.134715821812596,31
"261","2021-10-11",1.13509990253411,38
"262","2021-10-12",0.45,15
"263","2021-10-13",-0.325253623188406,23
"264","2021-10-14",0.17598275862069,58
"265","2021-10-15",0.647314814814815,45
"266","2021-10-16",0.315277777777778,18
"267","2021-10-17",0.3597,20
"268","2021-10-18",0.162290252639517,68
"269","2021-10-19",0.0928467626456132,87
"270","2021-10-20",0.521666666666667,26
"271","2021-10-21",0.365705128205128,39
"272","2021-10-22",0.206666666666667,30
"273","2021-10-23",0.520175438596491,19
"274","2021-10-24",0.319638694638695,39
"275","2021-10-25",-0.00515151515151515,33
"276","2021-10-26",0.321317829457364,43
"277","2021-10-27",0.243055555555556,36
"278","2021-10-28",0.464285714285714,21
"279","2021-10-29",2.71306878306878,63
"280","2021-10-30",0.238647342995169,23
"281","2021-10-31",0.439362648221344,46
"282","2021-11-01",1.02420634920635,42
"283","2021-11-02",-0.365263157894737,76
"284","2021-11-03",0.142443359110026,99
"285","2021-11-04",-0.858365384615385,52
"286","2021-11-05",0.136026355509114,87
"287","2021-11-06",-0.19047619047619,7
"288","2021-11-07",0.524356481481482,36
"289","2021-11-08",-0.0210678210678211,58
"290","2021-11-09",0.243703703703704,90
"291","2021-11-10",0.3875,20
"292","2021-11-11",0.408687943262411,47
"293","2021-11-12",-0.82260101010101,24
"294","2021-11-13",0.335714285714286,7
"295","2021-11-14",-0.492767857142857,28
"296","2021-11-15",-0.734679487179487,39
"297","2021-11-16",0.271645021645022,66
"298","2021-11-17",0.412242063492064,56
"299","2021-11-18",0.247339194937234,60
"300","2021-11-19",0.545848988633915,91
"301","2021-11-20",0.413791666666667,28
"302","2021-11-21",0.555555555555556,9
"303","2021-11-22",-1.91808406647116,31
"304","2021-11-23",0.477791394335512,51
"305","2021-11-24",0.258055555555556,30
"306","2021-11-25",0.446111111111111,20
"307","2021-11-26",-0.278853754940711,23
"308","2021-11-27",0.223333333333333,25
"309","2021-11-28",0.583333333333333,3
"310","2021-11-29",0.166666666666667,9
"311","2021-11-30",0.366363636363636,22
"312","2021-12-01",0.71525,40
"313","2021-12-02",0.268939393939394,11
"314","2021-12-03",0.178125,32
"315","2021-12-04",0.310261904761905,30
"316","2021-12-05",0.333405172413793,29
"317","2021-12-06",0.412962962962963,27
"318","2021-12-07",0.291666666666667,16
"319","2021-12-08",0.488095238095238,28
"320","2021-12-09",0.422972972972973,37
"321","2021-12-10",0.640540540540541,37
"322","2021-12-11",0.140263157894737,38
"323","2021-12-17",14.7994833981212,3
